~CURVE INFORMATION
#MNEM.UNIT      API CODE      CURVE DESCRIPTION
#---------    -------------   ------------------------------
 DEPT.FT                            0: 1  Depth
 HCAL.IN                       00 000: 2 HILT Caliper
 DPHZ.PU                       00 890: 3 HILT Density Porosity
 HDRA.G/C3                     00 000: 4 Delta RHO HIP Tool
 GR  .GAPI                     00 000: 5 Gamma Ray
 NPHI.PU                       00 000: 6 Neutron Porosity N
 PEFZ.                         00 000: 7 HILT Photoelectric Factor
 HMIN.OHMM                     00 000: 8 HILT Micro inverse
 HMNO.OHMM                     00 000: 9 HILT Micro Normal
 PXND.PU                       00 000: 10 HILT XPLOT Porosity
 RHOZ.G/C3                     00 000: 11 HILT Bulk Density
 RXOZ.OHMM                     00 000: 12 HILT Resisitivity flushed zone
 SP  .MV                       00 010: 13 Spontaneous Potential
 TNPH.PU                       00 000: 14 Thermal Neutron Porosity
 AT10.OHMM                     00 000: 15 2Ft Vert. Res. 10in D.I.

#---------    ---------------------------------------------------------------
  DEPT       HCAL      DPHZ      HDRA        GR        NPHI      PEFZ     HMIN      HMNO       PXND      RHOZ      RXOZ        SP     TNPH     AT10  
5312.00000 	7.74660 	13.31313 	0.03989 	35.65383 	21.19629 	4.80070 	9.80768 	10.64855 	18.42220 	2.48235 	37.61671 	19.68750 	18.68422 	16.84722 
5312.50000 	7.72564 	12.18734 	0.03153 	34.93132 	18.45157 	4.86507 	30.77838 	29.06877 	15.84289 	2.50160 	218.10629 	18.12500 	18.49516 	19.22490 
5313.00000 	7.85750 	10.86391 	0.03681 	41.15881 	16.86884 	4.78488 	27.21933 	27.54044 	12.53226 	2.52423 	198.54694 	16.31250 	18.35212 	16.65001 
5313.50000 	7.75337 	9.94659 	0.06665 	63.61711 	20.69400 	4.30009 	11.68663 	10.96818 	15.88732 	2.53991 	8.08270 	14.75000 	19.19393 	8.78405 
5314.00000 	7.98771 	10.69040 	0.10480 	91.59212 	24.13958 	3.51189 	2.89081 	2.45632 	20.81991 	2.52719 	3.34164 	13.62500 	22.36178 	4.03062 
5314.50000 	8.46331 	12.96589 	0.13014 	109.22961 	26.63921 	2.78184 	1.89977 	1.65524 	24.29292 	2.48828 	2.13229 	14.06250 	26.56754 	2.67978 
5315.00000 	8.45598 	14.78217 	0.13772 	117.05681 	28.90817 	2.37674 	1.88029 	1.64022 	23.23193 	2.45722 	1.95841 	11.50000 	27.71682 	2.32667 
5315.50000 	8.66527 	15.24206 	0.13422 	114.40350 	29.08219 	2.29675 	1.86160 	1.62550 	23.05492 	2.44936 	1.90862 	12.50000 	27.92857 	2.22729 
5316.00000 	8.64359 	15.55822 	0.12367 	114.10495 	29.48978 	2.43292 	1.72939 	1.52092 	22.77641 	2.44395 	1.86786 	11.12500 	28.12449 	2.15946 
5316.50000 	8.69878 	16.30950 	0.11136 	115.03696 	28.45155 	2.63874 	1.74016 	1.52912 	23.11161 	2.43111 	1.81607 	9.62500 	28.87361 	2.12192 
5317.00000 	8.61389 	16.29911 	0.10817 	120.96675 	28.90902 	2.73884 	1.71055 	1.50530 	23.65126 	2.43128 	1.80365 	10.00000 	28.60000 	2.11475 
5317.50000 	8.64194 	15.45262 	0.11534 	121.85757 	28.19641 	2.69190 	1.69163 	1.49027 	23.90469 	2.44576 	1.79330 	10.25000 	28.21074 	2.07469 
5318.00000 	8.56499 	15.72086 	0.11859 	122.26344 	31.77732 	2.66521 	1.70094 	1.49771 	25.41012 	2.44117 	1.83308 	12.68750 	26.16034 	2.00195 
5318.50000 	8.61590 	16.98714 	0.10945 	110.87473 	31.23887 	2.83379 	1.93952 	1.68650 	26.29358 	2.41952 	2.04190 	14.68750 	26.63749 	2.02974 
